iter	Passed	Remaining
0	40	40761
1	74	37365
2	113	37847
3	152	37974
4	186	37078
5	227	37763
6	265	37626
7	306	38011
8	340	37493
9	380	37652
10	435	39196
11	477	39305
12	516	39246
13	559	39386
14	585	38417
15	623	38352
16	663	38367
17	701	38296
18	740	38236
19	785	38503
20	828	38643
21	870	38677
22	914	38832
23	962	39152
24	1018	39726
25	1071	40133
26	1122	40455
27	1165	40472
28	1205	40374
29	1248	40374
30	1295	40508
31	1337	40460
32	1378	40381
33	1416	40258
34	1459	40241
35	1501	40205
36	1545	40226
37	1585	40139
38	1625	40044
39	1683	40407
40	1737	40637
41	1785	40720
42	1824	40603
43	1861	40446
44	1899	40321
45	1944	40327
46	1983	40223
47	2026	40183
48	2067	40122
49	2104	39981
50	2142	39867
51	2183	39810
52	2222	39710
53	2260	39596
54	2305	39608
55	2341	39475
56	2378	39356
57	2420	39305
58	2457	39196
59	2494	39082
60	2540	39107
61	2577	38999
62	2616	38918
63	2658	38873
64	2696	38784
65	2734	38701
66	2779	38710
67	2818	38630
68	2857	38551
69	2898	38506
70	2940	38470
71	2979	38403
72	3024	38407
73	3068	38402
74	3111	38371
75	3150	38300
76	3183	38163
77	3225	38123
78	3274	38178
79	3335	38355
80	3389	38450
81	3426	38362
82	3466	38295
83	3493	38093
84	3537	38075
85	3575	37995
86	3615	37942
87	3655	37880
88	3696	37832
89	3739	37811
90	3786	37827
91	3828	37783
92	3870	37749
93	3918	37763
94	3959	37721
95	4000	37672
96	4052	37723
97	4092	37666
98	4137	37653
99	4177	37598
100	4214	37514
101	4248	37399
102	4294	37399
103	4333	37334
104	4376	37306
105	4416	37246
106	4455	37187
107	4497	37146
108	4544	37152
109	4586	37110
110	4629	37077
111	4669	37023
112	4708	36959
113	4747	36899
114	4793	36887
115	4835	36846
116	4875	36792
117	4918	36763
118	4959	36718
119	4996	36643
120	5042	36633
121	5081	36566
122	5120	36510
123	5163	36477
124	5205	36435
125	5246	36389
126	5288	36354
127	5326	36288
128	5367	36241
129	5408	36195
130	5449	36151
131	5489	36099
132	5535	36081
133	5576	36039
134	5619	36005
135	5661	35965
136	5701	35917
137	5741	35860
138	5785	35835
139	5822	35767
140	5863	35719
141	5907	35697
142	5951	35665
143	5991	35616
144	6039	35613
145	6081	35571
146	6121	35519
147	6158	35453
148	6197	35395
149	6236	35339
150	6285	35338
151	6323	35279
152	6355	35185
153	6396	35137
154	6437	35092
155	6477	35046
156	6526	35043
157	6566	34995
158	6609	34958
159	6649	34907
160	6687	34850
161	6724	34783
162	6770	34765
163	6808	34708
164	6847	34653
165	6868	34508
166	6915	34492
167	6955	34445
168	7002	34430
169	7045	34397
170	7086	34355
171	7125	34301
172	7166	34258
173	7209	34222
174	7256	34209
175	7296	34160
176	7334	34102
177	7372	34044
178	7413	34000
179	7453	33952
180	7491	33898
181	7536	33874
182	7574	33816
183	7613	33763
184	7644	33675
185	7681	33619
186	7730	33609
187	7781	33608
188	7821	33561
189	7837	33410
190	7881	33382
191	7926	33358
192	7968	33317
193	8016	33304
194	8054	33249
195	8086	33169
196	8127	33129
197	8168	33088
198	8210	33048
199	8241	32965
200	8288	32949
201	8333	32920
202	8374	32880
203	8421	32859
204	8458	32803
205	8501	32769
206	8543	32729
207	8585	32689
208	8626	32650
209	8669	32612
210	8709	32568
211	8757	32550
212	8797	32505
213	8840	32469
214	8886	32447
215	8929	32410
216	8969	32364
217	9013	32333
218	9054	32291
219	9096	32252
220	9137	32207
221	9177	32161
222	9211	32095
223	9258	32074
224	9302	32040
225	9341	31993
226	9383	31953
227	9422	31903
228	9463	31861
229	9509	31835
230	9542	31766
231	9583	31723
232	9623	31678
233	9662	31629
234	9701	31581
235	9716	31453
236	9758	31415
237	9798	31370
238	9836	31321
239	9880	31288
240	9920	31243
241	9958	31193
242	10003	31163
243	10040	31110
244	10077	31055
245	10117	31010
246	10158	30968
247	10198	30924
248	10238	30878
249	10277	30833
250	10316	30784
251	10355	30736
252	10396	30696
253	10434	30647
254	10475	30605
255	10519	30573
256	10558	30523
257	10591	30460
